a,b,exponent,reliable,a_minus_b
0.10,0.10,0.9112,1,0.00
0.10,0.33,0.3536,1,-0.23
0.10,0.55,0.3165,1,-0.45
0.10,0.78,0.3098,1,-0.68
0.10,1.00,0.3153,1,-0.90
0.33,0.10,0.5817,1,0.23
0.33,0.33,0.5991,1,0.00
0.33,0.55,0.3137,1,-0.23
0.33,0.78,0.3148,1,-0.45
0.33,1.00,0.3139,1,-0.68
0.55,0.10,0.7281,1,0.45
0.55,0.33,0.6438,1,0.23
0.55,0.55,0.9680,1,0.00
0.55,0.78,0.3166,1,-0.22
0.55,1.00,0.3013,1,-0.45
0.78,0.10,0.7461,1,0.68
0.78,0.33,0.7283,1,0.45
0.78,0.55,0.6072,1,0.22
0.78,0.78,0.9691,1,0.00
0.78,1.00,0.3015,1,-0.22
1.00,0.10,0.7552,1,0.90
1.00,0.33,0.7421,1,0.68
1.00,0.55,0.7247,1,0.45
1.00,0.78,0.7771,1,0.22
1.00,1.00,0.9165,1,0.00
