a,b,exponent,reliable,a_minus_b
0.10,0.10,0.7126,1,0.00
0.10,0.33,0.7537,1,-0.23
0.10,0.55,0.7738,1,-0.45
0.10,0.78,0.7751,1,-0.68
0.10,1.00,0.7773,1,-0.90
0.33,0.10,0.5247,1,0.23
0.33,0.33,0.6200,1,0.00
0.33,0.55,0.7580,1,-0.23
0.33,0.78,0.7712,1,-0.45
0.33,1.00,0.7752,1,-0.68
0.55,0.10,0.7127,1,0.45
0.55,0.33,0.6128,1,0.23
0.55,0.55,1.0114,1,0.00
0.55,0.78,0.7652,1,-0.22
0.55,1.00,0.7765,1,-0.45
0.78,0.10,0.7324,1,0.68
0.78,0.33,0.7142,1,0.45
0.78,0.55,0.0846,1,0.22
0.78,0.78,1.0114,1,0.00
0.78,1.00,0.7734,1,-0.22
1.00,0.10,0.7380,1,0.90
1.00,0.33,0.7351,1,0.68
1.00,0.55,0.7041,1,0.45
1.00,0.78,0.0740,1,0.22
1.00,1.00,0.9819,1,0.00
