a,b,exponent,reliable,a_minus_b
0.10,0.10,0.9092,1,0.00
0.10,0.33,0.6049,1,-0.23
0.10,0.55,0.5999,1,-0.45
0.10,0.78,0.6027,1,-0.68
0.10,1.00,0.6006,1,-0.90
0.33,0.10,0.5986,1,0.23
0.33,0.33,0.7077,1,0.00
0.33,0.55,0.5909,1,-0.23
0.33,0.78,0.6001,1,-0.45
0.33,1.00,0.6044,1,-0.68
0.55,0.10,0.7332,1,0.45
0.55,0.33,0.6537,1,0.23
0.55,0.55,0.9876,1,0.00
0.55,0.78,0.5949,1,-0.22
0.55,1.00,0.5997,1,-0.45
0.78,0.10,0.7525,1,0.68
0.78,0.33,0.7295,1,0.45
0.78,0.55,0.6924,1,0.22
0.78,0.78,0.9815,1,0.00
0.78,1.00,0.5987,1,-0.22
1.00,0.10,0.7585,1,0.90
1.00,0.33,0.7517,1,0.68
1.00,0.55,0.7212,1,0.45
1.00,0.78,0.8161,1,0.22
1.00,1.00,0.9375,1,0.00
