a,b,exponent,reliable,a_minus_b
0.10,0.10,0.2574,1,0.00
0.10,0.33,0.2426,1,-0.23
0.10,0.55,0.2432,1,-0.45
0.10,0.78,0.2460,1,-0.68
0.10,1.00,0.2464,1,-0.90
0.33,0.10,0.2395,1,0.23
0.33,0.33,0.3924,1,0.00
0.33,0.55,0.2405,1,-0.23
0.33,0.78,0.2439,1,-0.45
0.33,1.00,0.2497,1,-0.68
0.55,0.10,0.2765,1,0.45
0.55,0.33,0.1735,1,0.23
0.55,0.55,0.7513,1,0.00
0.55,0.78,0.2383,1,-0.22
0.55,1.00,0.2418,1,-0.45
0.78,0.10,0.2795,1,0.68
0.78,0.33,0.2848,1,0.45
0.78,0.55,0.1767,1,0.22
0.78,0.78,0.9698,1,0.00
0.78,1.00,0.2414,1,-0.22
1.00,0.10,0.2808,1,0.90
1.00,0.33,0.2771,1,0.68
1.00,0.55,0.1772,1,0.45
1.00,0.78,0.1749,1,0.22
1.00,1.00,0.9088,1,0.00
