a,b,exponent,reliable,a_minus_b
0.10,0.10,0.7771,1,0.00
0.10,0.33,0.7542,1,-0.23
0.10,0.55,0.7736,1,-0.45
0.10,0.78,0.7739,1,-0.68
0.10,1.00,0.7732,1,-0.90
0.33,0.10,0.5630,1,0.23
0.33,0.33,0.7257,1,0.00
0.33,0.55,0.7575,1,-0.23
0.33,0.78,0.7720,1,-0.45
0.33,1.00,0.7749,1,-0.68
0.55,0.10,0.7239,1,0.45
0.55,0.33,0.6326,1,0.23
0.55,0.55,1.0097,1,0.00
0.55,0.78,0.7647,1,-0.22
0.55,1.00,0.7727,1,-0.45
0.78,0.10,0.7465,1,0.68
0.78,0.33,0.7227,1,0.45
0.78,0.55,0.4732,1,0.22
0.78,0.78,1.0102,1,0.00
0.78,1.00,0.7748,1,-0.22
1.00,0.10,0.7543,1,0.90
1.00,0.33,0.7360,1,0.68
1.00,0.55,0.7112,1,0.45
1.00,0.78,0.5621,1,0.22
1.00,1.00,0.9806,1,0.00
