a,b,exponent,reliable,a_minus_b
0.10,0.10,0.8076,1,0.00
0.10,0.33,0.8294,1,-0.23
0.10,0.55,0.5697,1,-0.45
0.10,0.78,0.3715,1,-0.68
0.10,1.00,0.3690,1,-0.90
0.33,0.10,0.9190,1,0.23
0.33,0.33,0.4911,1,0.00
0.33,0.55,0.6469,1,-0.23
0.33,0.78,0.3700,1,-0.45
0.33,1.00,0.3694,1,-0.68
0.55,0.10,0.8872,1,0.45
0.55,0.33,0.8385,1,0.23
0.55,0.55,0.6561,1,0.00
0.55,0.78,0.5533,1,-0.22
0.55,1.00,0.3695,1,-0.45
0.78,0.10,0.8749,1,0.68
0.78,0.33,0.8434,1,0.45
0.78,0.55,0.7612,1,0.22
0.78,0.78,0.9993,1,0.00
0.78,1.00,0.3675,1,-0.22
1.00,0.10,0.8772,1,0.90
1.00,0.33,0.8235,1,0.68
1.00,0.55,0.7138,1,0.45
1.00,0.78,0.6733,1,0.22
1.00,1.00,0.9867,1,0.00
