a,b,exponent,reliable,a_minus_b
0.10,0.10,0.0000,1,0.00
0.10,0.33,0.0000,1,-0.23
0.10,0.55,0.0000,1,-0.45
0.10,0.78,0.0000,1,-0.68
0.10,1.00,0.0000,1,-0.90
0.33,0.10,0.0000,1,0.23
0.33,0.33,0.2331,1,0.00
0.33,0.55,0.0000,1,-0.23
0.33,0.78,0.0000,1,-0.45
0.33,1.00,0.0000,1,-0.68
0.55,0.10,0.0000,1,0.45
0.55,0.33,0.0000,1,0.23
0.55,0.55,0.5760,1,0.00
0.55,0.78,0.0000,1,-0.22
0.55,1.00,0.0000,1,-0.45
0.78,0.10,0.0000,1,0.68
0.78,0.33,0.0000,1,0.45
0.78,0.55,0.0000,1,0.22
0.78,0.78,0.9413,1,0.00
0.78,1.00,0.0000,1,-0.22
1.00,0.10,0.0000,1,0.90
1.00,0.33,0.0000,1,0.68
1.00,0.55,0.0000,1,0.45
1.00,0.78,0.0000,1,0.22
1.00,1.00,0.9059,1,0.00
