a,b,exponent,reliable,a_minus_b
0.10,0.10,0.6911,1,0.00
0.10,0.33,0.6901,1,-0.23
0.10,0.55,0.6311,1,-0.45
0.10,0.78,0.6451,1,-0.68
0.10,1.00,0.7203,1,-0.90
0.33,0.10,0.5413,1,0.23
0.33,0.33,0.4563,1,0.00
0.33,0.55,0.5579,1,-0.23
0.33,0.78,0.6364,1,-0.45
0.33,1.00,0.7196,1,-0.68
0.55,0.10,0.6844,1,0.45
0.55,0.33,0.3645,1,0.23
0.55,0.55,0.6595,1,0.00
0.55,0.78,0.6012,1,-0.22
0.55,1.00,0.7175,1,-0.45
0.78,0.10,0.7430,1,0.68
0.78,0.33,0.5798,1,0.45
0.78,0.55,0.2684,1,0.22
0.78,0.78,1.0056,1,0.00
0.78,1.00,0.6342,1,-0.22
1.00,0.10,0.7634,1,0.90
1.00,0.33,0.6720,1,0.68
1.00,0.55,0.4248,1,0.45
1.00,0.78,0.0000,1,0.22
1.00,1.00,0.9975,1,0.00
